Ligand,Source,SourceID,Affinity,TotalModes,SimScore,SMILES,MW,TPSA,HBD,HBA,RotB,LogP
mol_1530,PubChem,175131978,-7.141,9,6,[H]c1c(C(=O)[O-])nc2c(c1[H])c([H])c([H])c1[n-]nc([H])c12,211.18,80.01,0,4,1,0.1
mol_4242,PubChem,169220908,-7.055,9,11,[H]c1c(C(=O)N([H])[H])c([H])c2c(nc([H])c3c([H])n[n-]c32)c1[H],211.2,82.97,1,3,1,0.84
mol_3276,PubChem,169220915,-7.187,9,6,[H]c1c(C(=O)N([H])[H])c([H])c2c(nc([H])c3[n-]nc([H])c32)c1[H],211.2,82.97,1,3,1,0.84
mol_2286,PubChem,137350244,-7.002,9,0,[H]c1n[n-]nc1-c1c([H])c(=O)n([H])c2c([H])c([H])c([H])c([H])c12,211.2,72.74,1,3,1,0.94
mol_2470,PubChem,160359843,-7.284,9,11,[H]c1c([H])c([H])c2c(nc([H])c3c([H])c(C(=O)N([H])[H])n([H])c32)c1[H],211.22,71.77,2,2,1,1.81
mol_2701,PubChem,177754298,-7.185,9,6,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c([H])c(C(=O)N([H])[H])n([H])c12,211.22,71.77,2,2,1,1.81
mol_2157,PubChem,154056967,-7.279,9,6,[H]c1c([H])c([H])c2c(nc([H])c3c([H])c(C(=O)N([H])[H])n([H])c32)c1[H],211.22,71.77,2,2,1,1.81
mol_1261,PubChem,130004926,-7.328,9,17,[H]c1c([H])c([H])c2c3c(c([H])c([H])c2c1[H])C(=O)C([H])([H])C(=O)N3[H],211.22,46.17,1,2,0,2.36
mol_2552,PubChem,3378548,-7.088,9,28,[H]c1c([H])c(-n2nnnc2[H])c2c([H])c([H])c(C([H])([H])[H])nc2c1[H],211.23,56.49,0,4,2,1.52
mol_1129,PubChem,141532452,-7.025,9,22,[H]C1=C([H])C([H])=C([H])[C@]2(C1=O)N([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C2([H])[H],211.26,29.1,1,2,0,2.48
mol_2984,PubChem,103965024,-7.03,9,0,[H]c1nc2c([H])c([H])c([H])c([H])c2c2c1N([H])C([H])([H])C1(N2[H])C([H])([H])C1([H])[H],211.27,36.95,2,3,0,2.6
mol_3250,PubChem,135874059,-7.169,9,17,[H]c1nc2c([O-])c([H])c([H])c([H])c2c(-c2nnn([H])n2)c1[H],212.19,90.41,1,5,1,0.49
mol_3300,PubChem,115028178,-7.133,9,6,[H]c1c(C(=O)[O-])c([H])c2c(c1[H])c([H])c([H])c1nnc([H])n12,212.19,70.32,0,4,1,0.25
mol_1216,PubChem,139774091,-7.145,9,11,[H]c1oc([H])c(-c2c([H])c(=O)oc3c([H])c([H])c([H])c([H])c23)c1[H],212.2,43.35,0,3,1,3.05
mol_4199,PubChem,175920105,-7.079,9,6,[H]c1onc(-n2c(=O)c([H])c([H])c3c([H])c([H])c([H])c([H])c32)c1[H],212.21,48.03,0,3,1,1.98
mol_1011,PubChem,68639250,-7.118,9,6,[H]c1oc2c([H])c([H])c3c([H])c([H])c(C(=O)N([H])[H])nc3c2c1[H],212.21,69.12,1,3,1,2.08
mol_1916,PubChem,143183819,-7.597,9,33,[H]C([H])=C1N([H])N([H])N([H])[C@@]1([H])c1c([H])c([H])c2nc([H])c([H])c([H])c2c1[H],212.26,48.98,3,4,1,1.4
mol_4839,PubChem,136921502,-7.11,9,6,[H]c1n[n-]c2c1C([H])([H])N([H])c1c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1-2,212.28,39.02,1,2,3,2.75
mol_4251,PubChem,115028589,-7.127,9,11,[H]c1c(C(=O)[O-])c([H])c2c(c1[H])c([H])c([H])c1nnnn12,213.18,83.21,0,5,1,-0.36
mol_2440,PubChem,16100198,-7.007,9,11,[H]c1oc([H])c(-c2c([H])c([H])c([H])c3c2N([H])C(=O)C3=O)c1[H],213.19,59.31,1,3,1,2.08
